id,front,right,back,left,x,y,yaw
33,264,191,278,208,-0.12170354276895523,0.0642629936337471,0.01602361351251602
34,264,185,275,211,-0.13074852526187897,0.06931789219379425,0.014994927681982517
35,262,187,275,211,-0.13919037580490112,0.0738588348031044,0.017863405868411064
36,267,187,277,209,-0.14903362095355988,0.07943195849657059,0.014640286564826965
37,266,190,275,210,-0.1568910777568817,0.08373098075389862,0.013215994462370872
38,265,188,276,209,-0.1666470170021057,0.08940722048282623,0.016002697870135307
39,265,190,271,206,-0.17726540565490723,0.09554825723171234,0.015022188425064087
40,262,185,276,206,-0.1874634176492691,0.10136517882347107,0.016071658581495285
41,265,191,275,208,-0.19760151207447052,0.10708101838827133,0.015987146645784378
42,264,188,275,205,-0.20934809744358063,0.11365880817174911,0.015295674093067646
43,265,187,275,213,-0.21834982931613922,0.11893483996391296,0.012932196259498596
44,264,188,274,208,-0.22854794561862946,0.12482114881277084,0.014415038749575615
45,264,190,273,212,-0.2409573644399643,0.13203154504299164,0.014617475681006908
46,264,186,276,210,-0.2526378333568573,0.1391812264919281,0.013377421535551548
47,265,188,272,207,-0.26614242792129517,0.14729280769824982,0.015468568541109562
48,263,194,275,212,-0.2783685624599457,0.15431451797485352,0.015061158686876297
49,264,203,278,204,-0.28518062829971313,0.15810450911521912,0.015524222515523434
50,264,201,274,212,-0.29751577973365784,0.1654990166425705,0.01527466531842947
51,265,225,274,209,-0.31080999970436096,0.17319129407405853,0.015614036470651627
52,263,223,277,207,-0.32653456926345825,0.18165451288223267,0.013343249447643757
53,268,227,274,209,-0.34189409017562866,0.19009342789649963,0.009396946057677269
54,265,237,275,209,-0.3550092577934265,0.19809015095233917,0.006425171624869108
55,265,233,275,210,-0.3681037724018097,0.2067040055990219,0.006743807345628738
56,264,233,274,209,-0.3888152241706848,0.21943247318267822,0.00686817429959774
57,284,190,274,222,-1.190877079963684,0.7203651070594788,0.022601179778575897
58,284,190,273,222,-1.2258870601654053,0.7440863251686096,0.02065913937985897
59,285,188,272,222,-1.2428680658340454,0.755659818649292,0.020004814490675926
60,280,186,271,222,-1.266052007675171,0.7714356184005737,0.01577821560204029
61,282,187,276,221,-1.3018091917037964,0.796023428440094,0.016102397814393044
