id,front,right,back,left,x,y,yaw
31,154,33,153,67,0.000866845075506717,-0.00016371544916182756,-0.0472935326397419
32,157,34,152,71,0.0008457450894638896,-0.000638041936326772,-0.05026085674762726
33,157,35,151,74,0.0008734301663935184,-0.00018767593428492546,-0.05158485472202301
34,161,34,153,70,0.0002763067604973912,-0.0003876581322401762,-0.054190002381801605
35,153,38,152,72,0.0017339927144348621,-0.00039930426282808185,-0.054791517555713654
36,154,36,152,71,0.0016938243061304092,-0.0004051929572597146,-0.059250473976135254
37,156,35,152,66,0.0008893556077964604,-0.0006148862303234637,-0.05832086130976677
38,154,36,151,71,0.0008860141970217228,-0.00021246144024189562,-0.05972588434815407
39,156,35,149,71,0.0008794539608061314,-0.00018694465688895434,-0.06339652091264725
40,158,37,153,70,0.0015616571763530374,-0.00018910845392383635,-0.06652587652206421
41,156,37,151,69,0.001530526438727975,-0.0003970439138356596,-0.07014179229736328
42,157,37,153,70,0.0008585373288951814,-0.00037759437691420317,-0.07091866433620453
43,154,36,148,71,0.000829890079330653,-0.0006009953795000911,-0.07255298644304276
44,155,36,151,70,0.0008511610212735832,-0.0003692142781801522,-0.07229325920343399
45,156,39,150,71,0.001645030453801155,-0.0011695321882143617,-0.07732407748699188
46,159,38,153,71,0.00015858528786338866,5.758787301601842e-05,-0.07941538840532303
47,154,38,153,70,0.0010059693595394492,8.236485882662237e-05,-0.07941482216119766
48,154,44,150,67,0.0007788867224007845,-0.00013835659774485976,-0.079557865858078
49,155,35,153,67,0.0007954009925015271,-0.0003669900761451572,-0.08309434354305267
50,155,40,155,67,0.0008008009754121304,-0.00036426499718800187,-0.08329148590564728
51,157,35,152,69,0.0014693052507936954,-0.0001460843486711383,-0.08483215421438217
52,153,34,153,71,0.0007675345405004919,-0.0008458096999675035,-0.08882305771112442
53,154,35,153,67,0.0007747695781290531,-0.00018011961947195232,-0.09120284765958786
54,157,36,151,68,0.0016237108502537012,-0.00017828399722930044,-0.0931113064289093
55,157,35,155,71,0.0016447657253593206,-0.001253769500181079,-0.09796062856912613
56,157,36,150,72,0.0016030216356739402,-0.00019380502635613084,-0.09577792137861252
57,159,36,152,70,0.0007716185064055026,0.0002070400951197371,-0.09220144152641296
58,156,36,153,71,0.0007792161195538938,-0.00038953759940341115,-0.08495347946882248
59,153,39,153,67,0.0005557917174883187,-0.0006126147345639765,-0.0862923115491867
60,164,43,151,72,0.00015389200416393578,2.1628668491757708e-06,-0.08611597865819931
61,159,37,152,69,8.791533764451742e-05,-0.00019540672656148672,-0.0880672037601471
62,157,37,152,68,0.0007595124770887196,-0.00040885646012611687,-0.08979541808366776
63,158,36,154,67,0.00014716983423568308,-0.00023473399050999433,-0.0897965058684349
64,159,38,154,68,0.0012252770829945803,-4.203352000331506e-05,-0.08900294452905655
65,159,36,150,69,0.0014616483822464943,-0.00047628366155549884,-0.09030575305223465
66,160,36,155,73,0.0016368002397939563,-0.00046233588363975286,-0.0951685979962349
67,157,37,150,73,0.0014571989886462688,-0.0004803033370990306,-0.09636806696653366
68,155,36,151,72,0.000847393530420959,-0.000279986736131832,-0.09754704684019089
69,158,36,151,70,0.0008440278470516205,-0.0005029093008488417,-0.09644827246665955
70,159,36,150,68,0.00014670449309051037,-0.0007491703145205975,-0.09780725836753845
71,157,38,154,71,0.0008470656466670334,-0.0007642935961484909,-0.1012936607003212
72,157,44,155,68,0.0008239108719862998,-0.0007577722426503897,-0.10038422048091888
73,154,34,152,72,0.0008567802142351866,-0.0002875681093428284,-0.09658437222242355
74,156,36,150,69,-0.0007937877089716494,-4.631176852853969e-05,-0.1002676859498024
75,156,37,153,68,0.00010743303573690355,-9.771247277967632e-05,-0.10414337366819382
76,156,45,152,69,-0.0004928687121719122,-0.0003041713498532772,-0.10657821595668793
77,156,35,152,71,-0.0007355209672823548,-0.00027117267018184066,-0.11026718467473984
78,158,43,150,71,-0.0005169616779312491,0.00037896278081461787,-0.11044201254844666
79,158,35,153,73,-0.0005218179430812597,-0.000255071819992736,-0.10907481610774994
80,155,46,153,70,-0.0005039581446908414,-3.6281076063460205e-06,-0.11173476278781891
81,156,35,155,71,0.0011473930208012462,-0.00020176889665890485,-0.11588941514492035
82,162,46,149,71,-0.0008048564195632935,0.00028128005214966834,-0.11799180507659912
83,158,35,155,72,0.0008939451072365046,-0.00045968536869622767,-0.11656054854393005
84,156,42,155,73,0.00038333015982061625,-0.00022623040422331542,-0.11842638999223709
85,154,36,153,71,0.0002892823831643909,-0.0003348807222209871,-0.1389644294977188
86,157,33,153,68,-0.000308290560496971,-0.0005752892466261983,-0.13902480900287628
