id,front,right,back,left,x,y,yaw
1960,115,195,224,177,0.02450389415025711,-0.00547381117939949,2.1228513717651367
1961,115,177,224,177,0.023252293467521667,-0.0062609887681901455,2.03505802154541
1962,115,177,224,177,0.021883264183998108,-0.005975903011858463,2.0035736560821533
1963,118,177,224,177,0.019284510985016823,-0.006385384127497673,1.9984980821609497
1964,118,177,217,32766,0.0190267413854599,-0.006099084857851267,2.018162727355957
1965,118,179,217,32766,0.01663769781589508,-0.006666976492851973,2.0638556480407715
1966,118,179,217,32766,0.014812680892646313,-0.006998690310865641,2.1147215366363525
1967,117,179,217,32766,0.012064915150403976,-0.007261054124683142,2.137970209121704
1968,117,179,217,179,0.010495462454855442,-0.007545871660113335,2.14498233795166
1969,117,202,217,179,0.008332041092216969,-0.007602775935083628,2.143406629562378
1970,117,202,217,179,0.0076368944719433784,-0.00731754582375288,2.142638921737671
1971,125,202,217,179,0.005379143171012402,-0.006356801372021437,2.1152851581573486
1972,125,202,210,181,0.004788820631802082,-0.006485777907073498,2.1280462741851807
1973,125,176,210,181,0.0021854261867702007,-0.006718576420098543,2.162907361984253
1974,125,176,210,181,0.0011814876925200224,-0.006446263287216425,2.1426029205322266
1975,130,176,210,181,0.00027105677872896194,-0.006562854629009962,2.0752604007720947
1976,130,176,207,32766,-0.0019980662036687136,-0.007957031950354576,2.1351377964019775
1977,130,179,207,32766,-0.005242747254669666,-0.00878386665135622,2.144608974456787
1978,130,179,207,32766,-0.007931582629680634,-0.009338726289570332,2.1613457202911377
1979,136,179,207,32766,-0.010364955291152,-0.010279567912220955,2.1219232082366943
1980,136,179,203,182,-0.010853501036763191,-0.010359231382608414,2.151949167251587
1981,136,195,203,182,-0.013071564957499504,-0.010723844170570374,2.1774470806121826
1982,136,195,203,182,-0.014818450435996056,-0.011152614839375019,2.134037971496582
1983,136,195,203,182,-0.016353502869606018,-0.011816582642495632,2.0778377056121826
1984,136,195,209,181,-0.018463896587491035,-0.012846856378018856,2.1126115322113037
1985,136,178,209,181,-0.0213851910084486,-0.013631291687488556,2.1522436141967773
1986,136,178,209,181,-0.02371278591454029,-0.015400318428874016,2.1931557655334473
1987,146,178,209,181,-0.02630903758108616,-0.015163865871727467,2.1270055770874023
1988,146,178,204,182,-0.027226371690630913,-0.0154639957472682,2.073458194732666
1989,146,193,204,182,-0.028566675260663033,-0.01558428630232811,2.038856267929077
1990,146,193,204,182,-0.031502533704042435,-0.016641780734062195,2.1710667610168457
1991,156,193,204,182,-0.03293948248028755,-0.017339834943413734,2.2097761631011963
1992,156,193,192,177,-0.035970620810985565,-0.01760185696184635,2.169959306716919
1993,156,175,192,177,-0.03698404133319855,-0.018572505563497543,2.128533363342285
1994,156,175,192,177,-0.039000120013952255,-0.01918598636984825,2.145528793334961
1995,158,175,192,177,-0.04023202881217003,-0.02044467069208622,2.2288591861724854
1996,158,175,187,175,-0.0408715195953846,-0.0205326359719038,2.2454729080200195
1997,158,192,187,175,-0.04235222563147545,-0.021561792120337486,2.2166457176208496
1998,158,192,187,175,-0.04269220307469368,-0.021611321717500687,2.1681206226348877
1999,159,192,187,175,-0.043736983090639114,-0.022802839055657387,2.1859190464019775
2000,159,192,188,184,-0.045039113610982895,-0.022755656391382217,2.1103274822235107
2001,159,168,188,184,-0.04768732935190201,-0.023959219455718994,2.010927438735962
2002,159,168,188,184,-0.04839672893285751,-0.02429630421102047,1.9917409420013428
2003,165,168,188,184,-0.04986422508955002,-0.025999117642641068,2.0144922733306885
2004,165,168,191,180,-0.05125046893954277,-0.026575002819299698,1.9952857494354248
2005,165,171,191,180,-0.05475962907075882,-0.02961692400276661,2.040295124053955
2006,165,171,191,180,-0.05444880947470665,-0.031154878437519073,2.062772750854492
2007,165,171,191,180,-0.056717995554208755,-0.03211528807878494,2.1228532791137695
2008,165,171,183,32766,-0.05669059604406357,-0.03329117223620415,2.1472740173339844
2009,165,32766,183,32766,-0.05765937268733978,-0.03468283638358116,2.161795139312744
2010,165,32766,183,32766,-0.05832250416278839,-0.03589628264307976,2.1767730712890625
2011,166,32766,183,32766,-0.05818704888224602,-0.03712158277630806,2.117931842803955
2012,166,32766,182,190,-0.059912197291851044,-0.0374688096344471,2.1447036266326904
2013,166,160,182,190,-0.0618303120136261,-0.038092780858278275,2.217874765396118
2014,166,160,182,190,-0.06240890547633171,-0.0390985906124115,2.228503942489624
2015,171,160,182,190,-0.06276270002126694,-0.04027142375707626,2.168271780014038
2016,171,160,177,188,-0.06285979598760605,-0.040999360382556915,2.1216626167297363
2017,171,185,177,188,-0.06314878165721893,-0.04034525528550148,2.0956974029541016
2018,171,185,177,188,-0.06447884440422058,-0.040002502501010895,2.114975690841675
2019,173,185,177,188,-0.0638255774974823,-0.040719326585531235,2.193916082382202
2020,173,185,181,32766,-0.06583376973867416,-0.04260179400444031,2.2402970790863037
2021,173,161,181,32766,-0.06642358750104904,-0.04228731989860535,2.2538931369781494
2022,173,161,181,32766,-0.0669761523604393,-0.04142655432224274,2.3668746948242188
2023,177,161,181,32766,-0.06714393943548203,-0.04251400753855705,2.445248603820801
2024,177,161,180,177,-0.06958451122045517,-0.04653065279126167,2.5923244953155518
2025,177,178,180,177,-0.06947068870067596,-0.046460773795843124,2.7011618614196777
2026,177,178,180,177,-0.06900958716869354,-0.047580622136592865,3.0462806224823
2027,180,178,180,177,-0.06890140473842621,-0.04876110702753067,3.273510456085205
2028,180,178,179,190,-0.06712977588176727,-0.04638916999101639,3.411285400390625
2029,180,156,179,190,-0.06725970655679703,-0.047706764191389084,3.5601751804351807
2030,180,156,179,190,-0.06684423238039017,-0.0493016354739666,3.7230424880981445
2031,172,156,179,190,-0.0672466903924942,-0.04902295023202896,3.874220132827759
2032,172,156,178,173,-0.06661012768745422,-0.04974864050745964,4.162892818450928
2033,172,32766,178,173,-0.0662224218249321,-0.050717793405056,4.267642021179199
2034,172,32766,178,173,-0.06558962911367416,-0.04941510036587715,4.276272773742676
2035,175,32766,178,173,-0.06681657582521439,-0.04938460886478424,4.385229110717773
2036,175,32766,183,195,-0.06608065962791443,-0.04993432015180588,4.5649333000183105
2037,175,156,183,195,-0.0656784400343895,-0.049784816801548004,4.65983247756958
2038,175,156,183,195,-0.06436778604984283,-0.050050973892211914,4.845643043518066
2039,176,156,183,195,-0.06361405551433563,-0.050522975623607635,5.194018840789795
2040,176,156,182,182,-0.06436619907617569,-0.050077687948942184,5.4188714027404785
2041,176,174,182,182,-0.06369446963071823,-0.044554486870765686,5.626773834228516
2042,176,174,182,182,-0.06434739381074905,-0.04236922413110733,6.1294026374816895
2043,167,174,182,182,-0.06380565464496613,-0.04260487109422684,6.386386871337891
2044,167,174,181,191,-0.06319235265254974,-0.04299537464976311,6.753095626831055
2045,167,175,181,191,-0.06276750564575195,-0.043279532343149185,7.043004512786865
2046,167,175,181,191,-0.06215210258960724,-0.043856892734766006,7.435964107513428
2047,174,175,181,191,-0.06257123500108719,-0.04313775897026062,7.665317535400391
2048,174,175,182,179,-0.06182819977402687,-0.04364108294248581,8.004332542419434
2049,174,173,182,179,-0.061429712921381,-0.04426819458603859,8.193680763244629
2050,174,173,182,179,-0.060736414045095444,-0.04546375200152397,8.531557083129883
2051,179,173,182,179,-0.06022614985704422,-0.04627314954996109,8.817534446716309
